latitude,longitude,rainfall_mm_24h,rainfall_mm_72h,river_level_m,river_level_change,soil_moisture_pct,slope_deg,elevation_m,dist_to_river_km,population_density,drainage_capacity,season,district_risk_index,land_use,flood_occurred
29.52021979907945,82.88814018805273,15.71,62.6,2.48,-2.23,82.79,3.17,1936.0,0.65,120,0.627,1,0.183,1,1
28.146401602983413,80.89515938047695,37.26,140.87,9.62,-1.1,70.53,3.17,1360.9,1.39,142,0.676,1,0.167,2,1
29.867251471636667,82.51774351955879,19.13,71.78,8.34,-1.73,61.3,9.49,2684.7,0.04,42,0.501,3,0.774,1,1
29.206208919143393,86.62700982677734,10.44,33.52,5.64,-2.39,2.62,15.37,3483.6,2.93,375,0.74,0,0.697,0,1
26.733127126339365,84.07640383737487,8.2,32.05,11.53,0.38,52.94,13.98,2040.1,2.51,609,0.227,0,0.312,1,1
30.3470516417107,81.45511711130318,43.52,135.71,8.08,-1.77,75.75,39.98,3017.0,4.35,4,0.172,1,0.838,2,1
29.46767277816045,82.60376540991844,7.03,20.2,0.84,-0.21,9.29,3.39,1857.4,9.06,146,0.33,0,0.108,1,0
29.56986365163551,87.82301236038217,186.59,618.97,1.67,-0.75,64.39,22.34,1030.9,8.14,21,0.72,2,0.486,2,1
26.87226589396974,83.57542982558712,13.22,41.09,10.67,2.05,11.42,54.94,1515.9,2.43,26,0.499,1,0.556,0,0
28.193582345371826,83.65394273188602,7.7,26.15,11.52,-1.9,44.96,8.31,3384.8,0.32,92,0.117,2,0.626,1,1
27.867271899353582,81.30444576944603,17.09,47.09,3.32,0.65,60.76,48.3,788.1,1.94,57,0.742,2,0.813,0,1
30.146736454279267,82.53798570247412,46.1,181.96,3.08,-0.1,23.39,11.93,2029.0,2.72,550,0.708,2,0.595,1,1
28.986846992330726,86.6919891805308,248.54,965.51,1.0,-1.03,75.89,18.06,1092.6,5.02,2367,0.836,2,0.328,2,0
29.720322614410403,86.46001824856577,4.08,14.71,1.83,-0.16,40.65,0.52,2649.7,0.49,613,0.575,0,0.637,1,1
28.164998215192057,83.60426671979324,185.04,382.85,3.29,0.6,49.87,44.78,3348.0,0.17,3304,0.142,2,0.695,1,1
27.278678759317586,87.33501037074547,70.72,178.7,10.97,-2.29,44.28,5.67,96.2,2.15,172,0.197,2,0.771,2,1
28.620797626764922,83.15444836164257,4.06,15.72,2.05,0.25,66.3,3.95,2547.9,0.21,140,0.428,0,0.327,3,0
26.60865075002712,87.09623576849,7.26,26.28,1.38,0.03,43.37,29.47,2602.1,3.81,26,0.294,0,0.543,1,0
29.740287805169586,80.31503827841124,119.87,300.4,11.76,1.22,65.44,4.74,3137.7,2.1,79,0.385,2,0.379,2,0
28.936824036400466,82.88549625334053,54.42,171.1,1.75,0.65,52.88,17.65,2235.1,6.73,11,0.598,2,0.311,2,0
29.455159734350033,87.02082261651552,28.43,58.4,2.47,2.46,97.04,11.28,2026.4,5.6,476,0.639,2,0.748,1,1
27.80055646933246,87.39736375908545,6.83,24.99,6.56,1.66,20.82,33.64,2467.6,0.84,22,0.623,0,0.278,1,0
30.326861900019104,86.21756096765758,20.38,60.9,3.62,-0.34,15.06,3.57,499.7,0.68,72,0.233,0,0.296,2,1
30.00879659742101,85.51271734698169,43.77,130.47,5.28,2.1,57.1,19.93,2766.8,2.84,44,0.403,3,0.742,1,0
29.538372338002425,86.6986564777515,16.9,38.53,5.29,0.3,68.77,16.31,1342.4,9.14,226,0.303,0,0.128,2,1
27.145018702193067,85.81964632669279,28.39,58.71,7.11,1.6,95.42,5.7,2946.2,0.82,33,0.538,3,0.542,0,1
28.260556115280842,82.12812123220995,113.34,440.67,0.72,-0.1,43.19,20.73,266.9,3.41,33,0.375,2,0.633,0,1
26.52659543972764,83.85456708235827,112.65,389.98,9.83,0.57,21.53,0.94,377.4,1.85,242,0.3,2,0.824,3,1
26.979586917476947,85.438120797787,37.18,93.83,4.59,-2.65,49.62,14.73,3613.8,1.69,26,0.74,1,0.607,1,0
29.147500708294064,84.84447785121435,12.24,25.08,11.96,0.31,52.48,33.16,2676.2,0.18,354,0.344,3,0.898,2,0
29.40052483922205,87.26534981480307,5.1,16.69,10.34,0.9,58.04,0.72,3889.9,0.88,527,0.717,3,0.283,1,1
30.31378990298026,83.91651690667808,65.65,245.4,0.7,0.91,43.32,0.03,155.6,0.75,7,0.403,2,0.723,1,1
27.682883968366422,81.50735121924298,115.25,338.91,10.15,-2.57,81.68,5.47,1122.9,0.47,3565,0.789,2,0.719,1,1
